SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,Residential Plot, 24.75 L,1485 ,Shadnagar,ResaleNew/Resale,"1,666 / sq ft"
seller,OWNER,3 , 1.55 Cr,1641 ,Aminpur,Ready to moveConstruction Status,"9,445 / sq ft"
seller,OWNER,2 , 32 L,750 ,Ramachandra Puram,Ready to moveConstruction Status,"4,266 / sq ft"
seller,OWNER,4 , 64 L,1250 ,Patancheru,Under ConstructionConstruction Status,"5,120 / sq ft"
seller,OWNER,2 , 86.4 L,1800 ,Nagole,Ready to moveConstruction Status,"4,800 / sq ft"
seller,OWNER,2 , 20 L,920 ,Isnapur,Under ConstructionConstruction Status,"2,173 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 26 L,1800 ,Chilkamarri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,3 , 65 L,1500 ,Bachupally,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,8 , 2.05 Cr,5600 ,Rampally,Ready to moveConstruction Status,"3,660 / sq ft"
seller,OWNER,7 , 6.3 Cr,5000 ,Himayat Nagar,Ready to moveConstruction Status,"12,600 / sq ft"
seller,OWNER,Residential Plot, 14.99 L,1968 ,Shadnagar,ResaleNew/Resale,762 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 1.05 Cr,2115 ,Bandlaguda Jagir,ResaleNew/Resale,"5,000 / sq ft"
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,Residential Plot, 1.14 Cr,1377 ,Puppalaguda,ResaleNew/Resale,"8,333 / sq ft"
seller,OWNER,2 , 1.05 Cr,1200 ,Yellareddy Guda,Ready to moveConstruction Status,"8,750 / sq ft"
seller,OWNER,3 , 1.49 Cr,1677 ,Kavadiguda,Ready to moveConstruction Status,"8,884 / sq ft"
Fudosan Developers and Agency,AGENT,3 , 1.28 Cr,2208 ,Tellapur,Under ConstructionConstruction Status,"5,800 / sq ft"
Fudosan Developers and Agency,AGENT,3 , 2.07 Cr,3569 ,Tellapur,Under ConstructionConstruction Status,"5,800 / sq ft"
Fudosan Developers and Agency,AGENT,3 , 1.17 Cr,2132 ,Tellapur,Under ConstructionConstruction Status,"5,500 / sq ft"
Fudosan Developers and Agency,AGENT,3 , 1 Cr,2132 ,Tellapur,Under ConstructionConstruction Status,"4,700 / sq ft"
seller,OWNER,4 , 70 L,1485 ,Balapur,Ready to moveConstruction Status,"4,713 / sq ft"
seller,OWNER,5 , 2.95 Cr,3000 ,Sainikpuri,Ready to moveConstruction Status,"9,833 / sq ft"
seller,OWNER,5 , 2.95 Cr,3000 ,Sainikpuri,Ready to moveConstruction Status,"9,833 / sq ft"
seller,OWNER,5 , 2.95 Cr,3000 ,Sainikpuri,Ready to moveConstruction Status,"9,833 / sq ft"
seller,OWNER,2 , 44.38 L,1138 ,Budvel,Ready to moveConstruction Status,"3,900 / sq ft"
seller,OWNER,2 , 34 L,850 ,Miyapur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,4 , 70 L,1485 ,Balapur,Ready to moveConstruction Status,"4,713 / sq ft"
seller,OWNER,4 , 70 L,1485 ,Balapur,Ready to moveConstruction Status,"4,713 / sq ft"
seller,OWNER,4 , 70 L,1485 ,Balapur,Ready to moveConstruction Status,"4,713 / sq ft"
seller,OWNER,4 , 70 L,1485 ,Balapur,Ready to moveConstruction Status,"4,713 / sq ft"
seller,OWNER,4 , 70 L,1485 ,Balapur,Ready to moveConstruction Status,"4,713 / sq ft"
seller,OWNER,4 , 70 L,1485 ,Balapur,Ready to moveConstruction Status,"4,713 / sq ft"
seller,OWNER,2 , 47.79 L,1138 ,Budvel,Ready to moveConstruction Status,"4,200 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 36 L,1198 ,Nizampet,Ready to moveConstruction Status,"3,005 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 36 L,1198 ,Nizampet,Ready to moveConstruction Status,"3,005 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 44.38 L,1138 ,Budvel,Ready to moveConstruction Status,"3,900 / sq ft"
seller,OWNER,2 , 34 L,850 ,Miyapur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 34 L,850 ,Miyapur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 43 L,1200 ,Chandanagar,Under ConstructionConstruction Status,"3,583 / sq ft"
seller,OWNER,2 , 46.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"3,873 / sq ft"
seller,OWNER,2 , 46.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"3,873 / sq ft"
seller,OWNER,2 , 56.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"4,700 / sq ft"
seller,OWNER,2 , 46.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"3,873 / sq ft"
seller,OWNER,2 , 46.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"3,873 / sq ft"
seller,OWNER,2 , 35 L,1200 ,Rajendra Nagar,Under ConstructionConstruction Status,"2,916 / sq ft"
seller,OWNER,2 , 35 L,1200 ,Rajendra Nagar,Under ConstructionConstruction Status,"2,916 / sq ft"
seller,OWNER,2 , 56.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"4,700 / sq ft"
seller,OWNER,2 , 56.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"4,700 / sq ft"
seller,OWNER,2 , 56.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"4,700 / sq ft"
seller,OWNER,2 , 56.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"4,700 / sq ft"
seller,OWNER,2 , 46.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"3,873 / sq ft"
seller,OWNER,2 , 46.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"3,873 / sq ft"
seller,OWNER,2 , 35 L,1200 ,Rajendra Nagar,Under ConstructionConstruction Status,"2,916 / sq ft"
seller,OWNER,2 , 46.87 L,1210 ,Miyapur,Under ConstructionConstruction Status,"3,873 / sq ft"
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 69.25 L,1150 ,Aushapur,Under ConstructionConstruction Status,"6,021 / sq ft"
