SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,"5,789 / sq ft"
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,"6,307 / sq ft"
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,"6,307 / sq ft"
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,"6,307 / sq ft"
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,"6,307 / sq ft"
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,"6,307 / sq ft"
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,"5,789 / sq ft"
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,"5,789 / sq ft"
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,"5,789 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 23.4 L,1620 ,Bhuvanagiri,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,5 , 3 Cr,2450 ,Uppal,Ready to moveConstruction Status,"12,244 / sq ft"
seller,OWNER,3 , 70 L,1833 ,Manikonda,Ready to moveConstruction Status,"3,818 / sq ft"
seller,OWNER,3 , 70 L,1833 ,Manikonda,Ready to moveConstruction Status,"3,818 / sq ft"
seller,OWNER,Residential Plot, 2.1 Cr,4500 ,Bhanur,ResaleNew/Resale,"4,666 / sq ft"
seller,OWNER,Residential Plot, 1.12 Cr,2403 ,Bhanur,ResaleNew/Resale,"4,666 / sq ft"
seller,OWNER,2 , 25 L,1075 ,Medchal,Under ConstructionConstruction Status,"2,325 / sq ft"
seller,OWNER,3 , 1.35 Cr,1800 ,Nanakramguda,Ready to moveConstruction Status,"7,500 / sq ft"
seller,OWNER,2 , 25 L,1075 ,Medchal,Under ConstructionConstruction Status,"2,325 / sq ft"
seller,OWNER,Residential Plot, 90.78 L,2400 ,Bhanur,ResaleNew/Resale,"3,782 / sq ft"
seller,OWNER,Residential Plot, 2.1 Cr,4500 ,Bhanur,ResaleNew/Resale,"4,666 / sq ft"
seller,OWNER,2 , 64 L,1250 ,Patancheru,Under ConstructionConstruction Status,"5,120 / sq ft"
seller,OWNER,2 , 64 L,1250 ,Patancheru,Under ConstructionConstruction Status,"5,120 / sq ft"
seller,OWNER,2 , 20 L,920 ,Isnapur,Under ConstructionConstruction Status,"2,173 / sq ft"
seller,OWNER,2 , 20 L,920 ,Isnapur,Under ConstructionConstruction Status,"2,173 / sq ft"
seller,OWNER,2 , 20 L,920 ,Isnapur,Under ConstructionConstruction Status,"2,173 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 26 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 26 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 26 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 26 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Maheshwaram,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Maheshwaram,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Maheshwaram,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,611 / sq ft
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,"1,444 / sq ft"
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,777 / sq ft
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,777 / sq ft
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,777 / sq ft
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,777 / sq ft
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,777 / sq ft
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,777 / sq ft
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,"1,722 / sq ft"
seller,OWNER,3 , 1.49 Cr,1677 ,Kavadiguda,Ready to moveConstruction Status,"8,884 / sq ft"
seller,OWNER,1 , 25 L,380 ,Narsingi,Under ConstructionConstruction Status,"6,578 / sq ft"
seller,OWNER,6 , 3.7 Cr,3232 ,Banjara Hills,Ready to moveConstruction Status,"11,448 / sq ft"
seller,OWNER,3 , 3.7 Cr,3232 ,Banjara Hills,Ready to moveConstruction Status,"11,448 / sq ft"
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,"2,000 / sq ft"
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,"2,000 / sq ft"
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,"2,000 / sq ft"
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,"2,000 / sq ft"
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,"2,000 / sq ft"
seller,OWNER,3 , 3.7 Cr,3232 ,Banjara Hills,Ready to moveConstruction Status,"11,448 / sq ft"
seller,OWNER,3 , 3.7 Cr,3232 ,Banjara Hills,Ready to moveConstruction Status,"11,448 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,2 , 39.5 L,730 ,Kukatpally,Ready to moveConstruction Status,"5,410 / sq ft"
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,Residential Plot, 2 Cr,2880 ,Gajularamaram,ResaleNew/Resale,"6,944 / sq ft"
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,"1,000 / sq ft"
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,"1,000 / sq ft"
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,"1,000 / sq ft"
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,"1,000 / sq ft"
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,"1,000 / sq ft"
seller,OWNER,2 , 42 L,1000 ,Mokila,Under ConstructionConstruction Status,"4,200 / sq ft"
seller,OWNER,2 , 42 L,1000 ,Mokila,Under ConstructionConstruction Status,"4,200 / sq ft"
seller,OWNER,2 , 48 L,1000 ,Mokila,Under ConstructionConstruction Status,"4,800 / sq ft"
seller,OWNER,2 , 50 L,1110 ,Kismatpur,Under ConstructionConstruction Status,"4,504 / sq ft"
seller,OWNER,2 , 87 L,1230 ,Manikonda,Ready to moveConstruction Status,"7,073 / sq ft"
seller,OWNER,3 , 95 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 87 L,1230 ,Manikonda,Ready to moveConstruction Status,"7,073 / sq ft"
seller,OWNER,2 , 50 L,1110 ,Kismatpur,Under ConstructionConstruction Status,"4,504 / sq ft"
seller,OWNER,2 , 78 L,1100 ,Miyapur,Ready to moveConstruction Status,"7,090 / sq ft"
seller,OWNER,6 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,"6,000 / sq ft"
seller,OWNER,3 , 2.2 Cr,2540 ,Manikonda,Ready to moveConstruction Status,"8,661 / sq ft"
seller,OWNER,3 , 1.9 Cr,3000 ,Kollur,Under ConstructionConstruction Status,"6,333 / sq ft"
seller,OWNER,3 , 76 L,1337 ,Miyapur,Ready to moveConstruction Status,"5,684 / sq ft"
seller,OWNER,2 , 38 L,1000 ,Gandi Maisamma,Ready to moveConstruction Status,"3,800 / sq ft"
seller,OWNER,2 , 50 L,1175 ,Hastinapuram,Ready to moveConstruction Status,"4,255 / sq ft"
seller,OWNER,3 , 2.2 Cr,2540 ,Manikonda,Ready to moveConstruction Status,"8,661 / sq ft"
seller,OWNER,Residential Plot, 48.4 L,2200 ,Mangalpally,ResaleNew/Resale,"2,200 / sq ft"
seller,OWNER,Residential Plot, 16 L,1800 ,Yacharam,ResaleNew/Resale,888 / sq ft
seller,OWNER,Residential Plot, 62 L,1800 ,Rampally,ResaleNew/Resale,"3,444 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 69 L,1100 ,Nagole,Under ConstructionConstruction Status,"6,272 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,"7,103 / sq ft"
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,"7,103 / sq ft"
seller,OWNER,3 , 98 L,1450 ,Madhapur,Under ConstructionConstruction Status,"6,758 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,"7,103 / sq ft"
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,"6,700 / sq ft"
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,"5,370 / sq ft"
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,"5,370 / sq ft"
seller,OWNER,6 , 1.12 Cr,2300 ,Sainikpuri,Under ConstructionConstruction Status,"4,869 / sq ft"
seller,OWNER,6 , 1.12 Cr,2300 ,Sainikpuri,Under ConstructionConstruction Status,"4,869 / sq ft"
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,"5,370 / sq ft"
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,"5,370 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,"3,980 / sq ft"
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,"6,700 / sq ft"
seller,OWNER,2 , 2.5 Cr,1350 ,Chandanagar,Ready to moveConstruction Status,"18,518 / sq ft"
seller,OWNER,3 , 1.2 Cr,2200 ,Bahadurpally,Ready to moveConstruction Status,"5,454 / sq ft"
seller,OWNER,3 , 1.2 Cr,2200 ,Bahadurpally,Ready to moveConstruction Status,"5,454 / sq ft"
seller,OWNER,3 , 42.77 L,1585 ,muthangi,Under ConstructionConstruction Status,"2,699 / sq ft"
seller,OWNER,2 , 60 L,1200 ,Ramachandra Puram,Ready to moveConstruction Status,"5,000 / sq ft"
seller,OWNER,2 , 59 L,1168 ,Mallapur,Ready to moveConstruction Status,"5,051 / sq ft"
seller,OWNER,10 , 3.5 Cr,9468 ,Mehdipatnam,Ready to moveConstruction Status,"3,696 / sq ft"
seller,OWNER,4 , 74.99 L,1820 ,Patancheru,Ready to moveConstruction Status,"4,120 / sq ft"
seller,OWNER,2 , 55 L,1285 ,Gajularamaram,Ready to moveConstruction Status,"4,280 / sq ft"
seller,OWNER,2 , 40 L,1100 ,Kompally,Under ConstructionConstruction Status,"3,636 / sq ft"
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,"6,700 / sq ft"
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,511 / sq ft
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,511 / sq ft
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,511 / sq ft
seller,OWNER,3 , 1.2 Cr,1800 ,Kukatpally,Ready to moveConstruction Status,"6,666 / sq ft"
seller,OWNER,3 , 1.2 Cr,1655 ,Narsingi,Ready to moveConstruction Status,"7,250 / sq ft"
seller,OWNER,4 , 78 L,2200 ,Kundanpally,Under ConstructionConstruction Status,"3,545 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
